ligand name,T [°C],t [h],solvent1,V/V solvent1 [ ],solvent2,V/V solvent2 [ ],solvent3,V/V solvent3 [ ],inorganic salt,metal,additional,reported,outcome,score
"(1R,3S)-1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid",100,48,methanol,0.86,water,0.14,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1039/c2jm15604k,successful,1.00
" (1R, 3S)-1,2,2-trimethyl-3-(pyridin-3-ylmethylcarbamoyl)cyclopentanecarboxylic acid",100,30,water,1.00,NA,0.00,NA,0.00,CdSO4·8/3H2O,Cd,NaOH,10.1016/j.inoche.2007.01.001,successful,1.00
"1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid",120,48,DMF,0.50,water,0.25,ethanol,0.25,Zn(NO3)2·6H2O,Zn,NA,10.1021/cg101135r,successful,1.00
"1,2,2-trimethyl-3-(pyridin-4-ylcarbamoyl)cyclopentanecarboxylic acid",120,48,DMF,0.54,water,0.23,ethanol,0.23,Cd(NO3)2·4H2O,Cd,NA,10.1021/cg101135r,successful,1.00
"(1R,3S)-1,2,2-trimethylcyclopentane-1,3-dicarboxylic acid",100,48,DMF,0.65,ethanol,0.35,NA,0.00,Mn(NO3)2·6H2O,Mn,NA,10.1021/ic502861k,successful,1.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,1.00,NA,0.00,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,successful,1.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.60,mesitylene,0.40,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,successful,1.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.50,mesitylene,0.50,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,byproduct,0.30
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.40,mesitylene,0.60,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.20,mesitylene,0.80,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.50,toluene,0.50,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.50,chlorobenzene,0.50,NA,0.00,Zn(NO3)2·6H2O,Zn,NA,10.1016/j.micromeso.2008.06.040,failed,0.00
"benzene-1,4-dicarboxylic acid",110,48,DEF,1.00,NA,0.00,NA,0.00,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.60,mesitylene,0.40,NA,0.00,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.50,mesitylene,0.50,NA,0.00,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.40,mesitylene,0.60,NA,0.00,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.20,mesitylene,0.80,NA,0.00,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,byproduct,0.30
"benzene-1,4-dicarboxylic acid",110,48,DEF,0.50,toluene,0.50,NA,0.00,ZnO,Zn,NA,10.1016/j.micromeso.2008.06.040,contaminated,0.40
