,mae,name,num_size
0,0.9107121,Lipo,100
1,1.8315071,opv,200
2,1.8014692,opv,200
3,1.8239585,opv,200
4,0.8010107,Lipo,200
5,1.7022814,opv,500
6,2.0149188,opv,100
7,1.1582986,FreeSolv,200
8,1.0620474,Lipo,50
9,1.6739367,opv,500
10,1.869568,FreeSolv,50
11,1.8566401,FreeSolv,50
12,1.0961522,Lipo,10
13,1.7242339,opv,200
14,1.012134,Lipo,50
15,1.0721748,Lipo,10
16,1.934879,opv,50
17,1.6595049,opv,500
18,1.3344963,FreeSolv,200
19,0.87038517,Lipo,100
20,0.922372,Lipo,100
21,44.607254,photoswitch,100
22,2.1187458,opv,10
23,1.6929499,opv,500
24,1.4764444,FreeSolv,100
25,1.9081799,opv,100
26,2.1212182,opv,10
27,0.9648627,Lipo,100
28,0.87968177,Lipo,100
29,0.51694316,qmug,100
30,1.2804515,Lipo,10
31,1.7248449,opv,500
32,1.8534769,opv,100
33,1.5465021,FreeSolv,100
34,1.62728,FreeSolv,100
35,0.67124194,Lipo,500
36,1.9016223,opv,50
37,1.60356,opv,500
38,3.8538496,FreeSolv,10
39,3.3307977,FreeSolv,10
40,0.35153532,qmug,1000
41,1.0633682,FreeSolv,500
42,1.6621642,FreeSolv,100
43,0.8097197,Lipo,200
44,0.6614851,Lipo,500
45,1.0730022,FreeSolv,200
46,1.7860687,opv,200
47,1.7625874,FreeSolv,100
48,0.7612704,Lipo,200
49,0.92814475,Lipo,50
50,1.9277838,opv,100
51,0.7872993,Lipo,200
52,1.0005813,FreeSolv,500
53,1.1085709,FreeSolv,200
54,0.6893943,Lipo,500
55,0.5667069,qmug,50
56,1.7605009,opv,200
57,3.8005607,FreeSolv,10
58,2.1249287,opv,10
59,1.8562096,opv,200
60,2.0131872,opv,10
61,3.0568998,FreeSolv,10
62,2.1407473,opv,10
63,0.67657614,Lipo,500
64,2.0221815,opv,50
65,2.150748,FreeSolv,50
66,1.845608,opv,200
67,78.75317,photoswitch,20
68,1.8868421,opv,200
69,1.6412929,opv,500
70,1.7932353,opv,200
71,0.88152814,Lipo,100
72,0.78682107,Lipo,200
73,1.22801,FreeSolv,200
74,3.342193,FreeSolv,10
75,0.8308764,FreeSolv,500
76,2.7377498,FreeSolv,10
77,0.6544437,Lipo,500
78,1.0276197,FreeSolv,500
79,1.0030975,Lipo,50
80,2.1480153,opv,50
81,1.7382838,FreeSolv,50
82,1.8312284,opv,200
83,1.275617,Lipo,10
84,0.9540648,FreeSolv,500
85,1.2281767,Lipo,10
86,2.0414429,opv,50
87,1.9527019,FreeSolv,50
88,1.0182638,Lipo,50
89,1.0382106,Lipo,50
90,1.1229098,Lipo,10
91,160.73445,photoswitch,50
92,2.0237381,opv,10
93,25.701292,photoswitch,200
94,0.66739774,Lipo,500
95,1.1170666,FreeSolv,200
96,2.2846503,opv,50
97,1.0721473,Lipo,10
98,0.9047112,Lipo,100
99,0.65690416,Lipo,500
100,1.4117346,FreeSolv,100
101,2.0439754,opv,50
102,2.2923582,opv,50
103,1.129279,Lipo,10
104,0.6523694,Lipo,500
105,0.8078529,FreeSolv,500
106,1.6009132,opv,500
107,2.011307,FreeSolv,50
108,1.0972698,Lipo,10
109,0.38452503,qmug,500
110,1.5925282,FreeSolv,100
111,0.6903191,Lipo,500
112,2.143882,opv,10
113,1.1496215,FreeSolv,200
114,1.9728585,FreeSolv,50
115,1.8651096,opv,200
116,1.9372354,opv,100
117,0.43754974,qmug,200
118,1.7309313,opv,100
119,1.8900172,FreeSolv,50
120,0.99454474,FreeSolv,500
121,0.8333513,FreeSolv,500
122,0.9402401,Lipo,100
123,1.916243,opv,50
124,0.8958646,FreeSolv,500
125,2.415557,opv,10
126,0.8192764,Lipo,200
127,1.8042372,opv,100
128,1.8645478,FreeSolv,50
129,1.8855449,opv,50
130,0.81009346,Lipo,200
131,1.16148,FreeSolv,200
132,1.0544183,FreeSolv,200
133,1.8497963,opv,100
134,1.1169156,Lipo,10
135,0.7610796,Lipo,200
136,1.5434521,qmug,10
137,0.8389925,FreeSolv,500
138,1.1214592,FreeSolv,200
139,0.75331604,Lipo,200
140,1.8689378,opv,100
141,1.3483926,FreeSolv,100
142,1.6486096,opv,500
143,1.6800586,FreeSolv,100
144,1.5461015,FreeSolv,100
145,1.6221365,opv,500
146,0.9349676,qmug,10
147,1.0015397,Lipo,50
148,1.889106,opv,100
149,2.0472488,opv,10
150,1.8323047,opv,100
151,1.7451091,opv,200
152,1.6229458,opv,500
153,1.8602414,FreeSolv,50
154,1.0238187,Lipo,50
155,2.0815604,opv,10
156,1.8556142,FreeSolv,50
157,1.7015307,opv,500
158,1.9417562,opv,50
159,1.17853,Lipo,10
160,0.94264126,Lipo,50
161,0.65196556,Lipo,500
162,1.990732,opv,50
163,196.19858,photoswitch,10
164,2.0469236,opv,100
165,1.2632891,FreeSolv,200
166,1.8493452,opv,50
167,0.8060253,Lipo,200
168,0.9678944,Lipo,50
169,2.1166723,opv,10
170,2.3824794,opv,10
171,1.6531464,FreeSolv,100
172,1.889698,opv,100
173,2.9625146,FreeSolv,10
174,0.8659286,Lipo,100
175,2.3619363,opv,10
176,0.82769513,FreeSolv,500
177,3.3067176,FreeSolv,10
178,2.0229008,opv,50
179,0.68014264,Lipo,500
180,1.6327485,opv,500
181,1.8822579,opv,200
182,0.9286478,Lipo,100
183,2.8343213,FreeSolv,10
184,3.2296133,FreeSolv,10
185,1.1510035,FreeSolv,200
186,1.516436,FreeSolv,100
187,0.88675416,Lipo,100
188,0.65988195,qmug,50
189,2.546251,FreeSolv,10
190,0.97906065,FreeSolv,500
191,2.3275356,opv,10
192,0.7497511,Lipo,200
193,1.8100494,FreeSolv,50
194,0.9492422,Lipo,50
195,2.8847332,FreeSolv,10
196,2.0639296,opv,100
