,,accuracy,accuracy,accuracy,f1_macro,f1_macro,f1_macro,f1_micro,f1_micro,f1_micro,kappa,kappa,kappa
,,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem
num_classes,train_size,,,,,,,,,,,,
2,10,0.6483760683760684,0.1416929221407801,0.016698671015313853,0.5747232253000124,0.2152867807934301,0.025371790433142697,0.6483760683760684,0.1416929221407801,0.016698671015313853,0.29675213675213674,0.2833858442815602,0.033397342030627705
2,20,0.7581176470588236,0.11762724432069312,0.017534834287136387,0.7333418824835198,0.16295951443363196,0.024292570123597274,0.7581176470588236,0.11762724432069312,0.017534834287136387,0.516235294117647,0.23525448864138615,0.03506966857427277
2,50,0.8247874493927125,0.05897106810319904,0.008177815762113964,0.821165211941482,0.06528991026628803,0.009054081509059389,0.8247874493927125,0.05897106810319904,0.008177815762113964,0.6495748987854252,0.1179421362063981,0.016355631524227927
2,100,0.8981818181818182,0.026628760937957848,0.004635472285084348,0.8979736054465595,0.026808291648942904,0.004666724570424691,0.8981818181818182,0.026628760937957848,0.004635472285084348,0.7963636363636364,0.05325752187591564,0.009270944570168697
2,200,0.8918181818181818,0.02518116178993552,0.004383477618633166,0.89175112835223,0.025176586127353903,0.004382681098016509,0.8918181818181818,0.02518116178993552,0.004383477618633166,0.7836363636363636,0.05036232357987113,0.008766955237266331
5,10,0.3223760683760684,0.09882985655582584,0.012758879618292711,0.2725075058927237,0.13684485672605415,0.017666595037138254,0.3223760683760684,0.09882985655582584,0.012758879618292711,0.16060822710692488,0.11884472223389726,0.015342787666551014
5,20,0.36449826989619377,0.08699254141464773,0.014919097770563189,0.34058570433976354,0.11312352037309771,0.019400523690326032,0.36449826989619377,0.08699254141464773,0.014919097770563189,0.2096530037318287,0.10743949718994379,0.018425721756497915
5,50,0.4451503759398496,0.08585513255725424,0.013247734565023794,0.43347691009745304,0.08966735360397657,0.01383597304332904,0.4451503759398496,0.08585513255725424,0.013247734565023794,0.30906539737888317,0.10599881098940336,0.016355971627663543
5,100,0.555,0.03611575592573074,0.007372097807744854,0.5533567120037369,0.037676286603292586,0.007690639798410372,0.555,0.03611575592573074,0.007372097807744854,0.44397658836635845,0.045467013054565665,0.00928091517601229
5,200,0.6444444444444444,0.02846500325410856,0.005478092430414382,0.6397317099450033,0.0300633644062729,0.00578569717756916,0.6444444444444444,0.02846500325410856,0.005478092430414382,0.5552193316795054,0.035869773986011794,0.006903141222198312
