,smiles,gaps
0,"[H]c1s([H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C2([H])[H])c([H])c1Cl
",2.633733975589
1,"[H]c1nc([H])c(C([H])([H])[H])c(OC([H])([H])[H])c1[H]
",3.55955849812
2,"[H]c1nc(Oc2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])n(C([H])([H])[H])c1[H]
",3.905751136183
3,"[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
",3.757005722317
4,"[H]Oc1c([H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H]
",3.125214937763
5,"[H]Oc1c([H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])C([H])([H])C2([H])[H]
",2.736315611123
6,"[H]OC(=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
",3.657069252021
7,"[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])[H]
",10.25522981933
8,"[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
",1.921191709266
9,"[H]OC(=O)C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
",2.799078433558
10,"[H]c1nc(N([H])[H])c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H])c1[H]
",3.14691216018
11,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])c1n([H])n([H])c([H])c([H])c1[H]
",2.617265126055
