,Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES,SELFIES,InChI,smiles_x,selfies_x,deepsmiles_x,canonical_x,inchi_x,tucan_x,iupac_name_x,smiles_y,selfies_y,deepsmiles_y,canonical_y,inchi_y,tucan_y,iupac_name_y,smiles,selfies,deepsmiles,canonical,inchi,tucan,iupac_name
0,"1,1,1,2-Tetrachloroethane",-2.18,-2.794,ClCC(Cl)(Cl)Cl,[Cl][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl],"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",ClCC(Cl)(Cl)Cl,['[Cl][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]'],ClCCCl)Cl)Cl,ClCC(Cl)(Cl)Cl,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",C2Cl4/(1-2)(1-3)(2-4)(2-5)(2-6),"1,1,1,2-TETRACHLOROETHANE",ClCC(Cl)(Cl)Cl,['[Cl][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]'],ClCCCl)Cl)Cl,ClCC(Cl)(Cl)Cl,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",C2Cl4/(1-2)(1-3)(2-4)(2-5)(2-6),"1,1,1,2-TETRACHLOROETHANE",ClCC(Cl)(Cl)Cl,['[Cl][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]'],ClCCCl)Cl)Cl,ClCC(Cl)(Cl)Cl,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",C2Cl4/(1-2)(1-3)(2-4)(2-5)(2-6),"1,1,1,2-TETRACHLOROETHANE"
1,"1,1,1-Trichloroethane",-2.0,-2.232,CC(Cl)(Cl)Cl,[C][C][Branch1][C][Cl][Branch1][C][Cl][Cl],"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",CC(Cl)(Cl)Cl,['[C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]'],CCCl)Cl)Cl,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",C2Cl3/(1-2)(2-3)(2-4)(2-5),"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,['[C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]'],CCCl)Cl)Cl,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",C2Cl3/(1-2)(2-3)(2-4)(2-5),"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,['[C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]'],CCCl)Cl)Cl,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",C2Cl3/(1-2)(2-3)(2-4)(2-5),"1,1,1-Trichloroethane"
2,"1,1,2,2-Tetrachloroethane",-1.74,-2.549,ClC(Cl)C(Cl)Cl,[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Cl],InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,['[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Cl]'],ClCCl)CCl)Cl,ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,C2Cl4/(1-2)(1-3)(1-4)(2-5)(2-6),"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,['[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Cl]'],ClCCl)CCl)Cl,ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,C2Cl4/(1-2)(1-3)(1-4)(2-5)(2-6),"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,['[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Cl]'],ClCCl)CCl)Cl,ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,C2Cl4/(1-2)(1-3)(1-4)(2-5)(2-6),"1,1,2,2-Tetrachloroethane"
3,"1,1,2-Trichloroethane",-1.48,-1.961,ClCC(Cl)Cl,[Cl][C][C][Branch1][C][Cl][Cl],"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",ClCC(Cl)Cl,['[Cl][C][C][Branch1][C][Cl][Cl]'],ClCCCl)Cl,ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",C2Cl3/(1-2)(1-3)(2-4)(2-5),"1,1,2-TRICHLOROETHANE",ClCC(Cl)Cl,['[Cl][C][C][Branch1][C][Cl][Cl]'],ClCCCl)Cl,ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",C2Cl3/(1-2)(1-3)(2-4)(2-5),"1,1,2-TRICHLOROETHANE",ClCC(Cl)Cl,['[Cl][C][C][Branch1][C][Cl][Cl]'],ClCCCl)Cl,ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",C2Cl3/(1-2)(1-3)(2-4)(2-5),"1,1,2-TRICHLOROETHANE"
4,"1,1,2-Trichlorotrifluoroethane",-3.04,-3.077,FC(F)(Cl)C(F)(Cl)Cl,[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][Cl][Cl],"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",FC(F)(Cl)C(F)(Cl)Cl,['[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][Cl][Cl]'],FCF)Cl)CF)Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",C2Cl3F3/(1-2)(1-3)(1-4)(1-6)(2-5)(2-7)(2-8),"1,1,2-Trichloro-1,2,2-trifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,['[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][Cl][Cl]'],FCF)Cl)CF)Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",C2Cl3F3/(1-2)(1-3)(1-4)(1-6)(2-5)(2-7)(2-8),"1,1,2-Trichloro-1,2,2-trifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,['[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][Cl][Cl]'],FCF)Cl)CF)Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",C2Cl3F3/(1-2)(1-3)(1-4)(1-6)(2-5)(2-7)(2-8),"1,1,2-Trichloro-1,2,2-trifluoroethane"
5,"1,1-Dichloroethane",-1.29,-1.576,CC(Cl)Cl,[C][C][Branch1][C][Cl][Cl],"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",CC(Cl)Cl,['[C][C][Branch1][C][Cl][Cl]'],CCCl)Cl,CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",C2Cl2/(1-2)(2-3)(2-4),"1,1-DICHLOROETHANE",CC(Cl)Cl,['[C][C][Branch1][C][Cl][Cl]'],CCCl)Cl,CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",C2Cl2/(1-2)(2-3)(2-4),"1,1-DICHLOROETHANE",CC(Cl)Cl,['[C][C][Branch1][C][Cl][Cl]'],CCCl)Cl,CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",C2Cl2/(1-2)(2-3)(2-4),"1,1-DICHLOROETHANE"
6,"1,1-Dichloroethylene",-1.64,-1.939,ClC(=C)Cl,[Cl][C][=Branch1][C][=C][Cl],InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,ClC(=C)Cl,['[Cl][C][=Branch1][C][=C][Cl]'],ClC=C)Cl,C=C(Cl)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,C2Cl2/(1-2)(2-3)(2-4),"1,1-Dichloroethene",ClC(=C)Cl,['[Cl][C][=Branch1][C][=C][Cl]'],ClC=C)Cl,C=C(Cl)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,C2Cl2/(1-2)(2-3)(2-4),"1,1-Dichloroethene",ClC(=C)Cl,['[Cl][C][=Branch1][C][=C][Cl]'],ClC=C)Cl,C=C(Cl)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,C2Cl2/(1-2)(2-3)(2-4),"1,1-Dichloroethene"
7,"1,1-Diethoxyethane ",-0.43,-0.899,CCOC(C)OCC,[C][C][O][C][Branch1][C][C][O][C][C],"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",CCOC(C)OCC,['[C][C][O][C][Branch1][C][C][O][C][C]'],CCOCC)OCC,CCOC(C)OCC,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",C6O2/(1-4)(2-5)(3-6)(4-7)(5-8)(6-7)(6-8),"1,1-Diethoxyethane",CCOC(C)OCC,['[C][C][O][C][Branch1][C][C][O][C][C]'],CCOCC)OCC,CCOC(C)OCC,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",C6O2/(1-4)(2-5)(3-6)(4-7)(5-8)(6-7)(6-8),"1,1-Diethoxyethane",CCOC(C)OCC,['[C][C][O][C][Branch1][C][C][O][C][C]'],CCOCC)OCC,CCOC(C)OCC,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",C6O2/(1-4)(2-5)(3-6)(4-7)(5-8)(6-7)(6-8),"1,1-Diethoxyethane"
8,"1,2,3,4-Tetrachlorobenzene",-4.57,-4.546,Clc1ccc(Cl)c(Cl)c1Cl,[Cl][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,Clc1ccc(Cl)c(Cl)c1Cl,['[Cl][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl]'],ClccccCl)cCl)c6Cl,Clc1ccc(Cl)c(Cl)c1Cl,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,C6Cl4/(1-2)(1-3)(2-4)(3-5)(3-7)(4-6)(4-8)(5-6)(5-9)(6-10),"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,['[Cl][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl]'],ClccccCl)cCl)c6Cl,Clc1ccc(Cl)c(Cl)c1Cl,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,C6Cl4/(1-2)(1-3)(2-4)(3-5)(3-7)(4-6)(4-8)(5-6)(5-9)(6-10),"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,['[Cl][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl]'],ClccccCl)cCl)c6Cl,Clc1ccc(Cl)c(Cl)c1Cl,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,C6Cl4/(1-2)(1-3)(2-4)(3-5)(3-7)(4-6)(4-8)(5-6)(5-9)(6-10),"1,2,3,4-Tetrachlorobenzene"
9,"1,2,3,4-Tetrahydronapthalene",-4.37,-3.447,C1CCc2ccccc2C1,[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2],"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",C1CCc2ccccc2C1,['[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2]'],CCCcccccc6C%10,c1ccc2c(c1)CCCC2,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",C10/(1-2)(1-5)(2-6)(3-4)(3-7)(4-8)(5-9)(6-10)(7-9)(8-10)(9-10),"1,2,3,4-Tetrahydronaphthalene",C1CCc2ccccc2C1,['[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2]'],CCCcccccc6C%10,c1ccc2c(c1)CCCC2,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",C10/(1-2)(1-5)(2-6)(3-4)(3-7)(4-8)(5-9)(6-10)(7-9)(8-10)(9-10),"1,2,3,4-Tetrahydronaphthalene",C1CCc2ccccc2C1,['[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2]'],CCCcccccc6C%10,c1ccc2c(c1)CCCC2,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",C10/(1-2)(1-5)(2-6)(3-4)(3-7)(4-8)(5-9)(6-10)(7-9)(8-10)(9-10),"1,2,3,4-Tetrahydronaphthalene"
